iter	Passed	Remaining
0	192	192368
1	198	98951
2	203	67790
3	208	51923
4	211	42152
5	214	35528
6	216	30781
7	219	27161
8	220	24304
9	222	22058
10	224	20205
11	226	18611
12	227	17259
13	228	16114
14	230	15148
15	231	14257
16	233	13485
17	234	12799
18	235	12173
19	236	11604
20	237	11085
21	238	10615
22	239	10191
23	240	9794
24	241	9432
25	242	9096
26	243	8786
27	244	8498
28	245	8226
29	246	7976
30	247	7749
31	248	7528
32	249	7319
33	250	7121
34	251	6936
35	252	6761
36	253	6597
37	254	6440
38	255	6293
39	256	6153
40	257	6021
41	258	5896
42	259	5774
43	260	5659
44	261	5549
45	262	5442
46	263	5338
47	264	5240
48	265	5148
49	266	5059
50	267	4972
51	268	4887
52	269	4806
53	269	4729
54	270	4653
55	271	4584
56	273	4519
57	274	4455
58	275	4393
59	276	4331
60	277	4272
61	278	4212
62	279	4154
63	280	4099
64	281	4045
65	282	3993
66	283	3942
67	284	3894
68	285	3846
69	285	3799
70	287	3756
71	288	3715
72	289	3672
73	290	3630
74	291	3591
75	292	3554
76	293	3515
77	294	3477
78	295	3440
79	296	3404
80	296	3369
81	297	3335
82	298	3296
83	299	3264
84	300	3232
85	301	3202
86	302	3175
87	303	3147
88	304	3119
89	305	3090
90	306	3063
91	307	3037
92	308	3011
93	309	2984
94	310	2958
95	311	2932
96	312	2906
97	313	2882
98	313	2857
99	314	2834
100	315	2810
101	316	2789
102	318	2771
103	319	2749
104	320	2728
105	321	2708
106	322	2689
107	323	2668
108	324	2648
109	325	2629
110	325	2610
111	326	2591
112	327	2573
113	328	2554
114	329	2536
115	330	2519
116	331	2502
117	332	2488
118	333	2472
119	334	2456
120	335	2440
121	336	2423
122	337	2407
123	338	2392
124	339	2377
125	340	2361
126	341	2345
127	342	2331
128	343	2316
129	343	2302
130	344	2287
131	345	2273
132	346	2260
133	348	2249
134	349	2236
135	350	2225
136	351	2212
137	352	2200
138	353	2187
139	354	2174
140	354	2162
141	355	2148
142	356	2136
143	357	2125
144	358	2113
145	359	2102
146	360	2090
147	361	2080
148	362	2071
149	363	2060
150	364	2050
151	365	2039
152	366	2029
153	367	2019
154	368	2008
155	369	1998
156	370	1988
157	371	1978
158	372	1968
159	373	1958
160	373	1947
161	374	1937
162	375	1928
163	376	1920
164	377	1912
165	379	1904
166	379	1895
167	380	1886
168	382	1878
169	383	1869
170	384	1861
171	385	1854
172	386	1847
173	387	1840
174	388	1833
175	390	1826
176	391	1820
177	392	1813
178	393	1805
179	394	1798
180	395	1790
181	396	1782
182	397	1774
183	398	1766
184	399	1758
185	400	1750
186	401	1743
187	401	1736
188	402	1728
189	403	1721
190	404	1714
191	406	1708
192	407	1702
193	408	1695
194	409	1689
195	410	1682
196	411	1675
197	412	1669
198	413	1663
199	414	1657
200	415	1650
201	416	1643
202	416	1636
203	417	1630
204	418	1623
205	419	1617
206	420	1611
207	422	1606
208	422	1600
209	424	1595
210	425	1589
211	426	1583
212	426	1577
213	427	1571
214	428	1565
215	429	1559
216	430	1553
217	431	1547
218	432	1541
219	433	1535
220	434	1530
221	434	1524
222	436	1519
223	437	1514
224	438	1510
225	439	1504
226	440	1499
227	441	1494
228	442	1488
229	443	1483
230	444	1478
231	445	1473
232	445	1468
233	446	1463
234	447	1458
235	448	1453
236	449	1447
237	450	1443
238	451	1438
239	452	1433
240	453	1428
241	454	1423
242	455	1418
243	456	1413
244	457	1408
245	458	1403
246	458	1399
247	459	1394
248	460	1389
249	461	1385
250	462	1380
251	463	1375
252	464	1372
253	465	1368
254	467	1364
255	467	1359
256	468	1355
257	469	1350
258	470	1346
259	471	1341
260	472	1337
261	473	1333
262	474	1329
263	475	1325
264	476	1321
265	477	1316
266	478	1312
267	479	1308
268	480	1304
269	481	1301
270	482	1297
271	483	1294
272	484	1290
273	485	1287
274	486	1283
275	487	1280
276	489	1276
277	489	1272
278	491	1269
279	492	1265
280	493	1261
281	494	1258
282	495	1254
283	496	1251
284	497	1247
285	498	1244
286	499	1240
287	500	1236
288	501	1233
289	502	1229
290	503	1226
291	504	1222
292	505	1219
293	506	1215
294	507	1212
295	508	1208
296	509	1205
297	511	1203
298	512	1201
299	513	1198
300	514	1194
301	515	1191
302	516	1188
303	517	1184
304	518	1181
305	519	1177
306	520	1174
307	521	1171
308	522	1167
309	523	1164
310	523	1160
311	524	1157
312	526	1154
313	527	1151
314	528	1148
315	529	1145
316	530	1142
317	531	1139
318	532	1136
319	533	1133
320	534	1130
321	535	1127
322	536	1124
323	537	1120
324	538	1117
325	539	1114
326	540	1112
327	541	1109
328	542	1106
329	543	1103
330	544	1100
331	545	1097
332	546	1094
333	547	1091
334	548	1088
335	549	1085
336	550	1082
337	551	1079
338	552	1076
339	553	1073
340	554	1071
341	555	1068
342	556	1065
343	557	1062
344	558	1059
345	559	1057
346	560	1054
347	561	1051
348	562	1048
349	563	1045
350	563	1042
351	564	1039
352	565	1036
353	566	1034
354	567	1031
355	568	1028
356	569	1026
357	570	1023
358	571	1020
359	572	1017
360	573	1015
361	574	1012
362	575	1010
363	576	1007
364	577	1005
365	578	1002
366	579	999
367	580	996
368	581	994
369	582	991
370	583	988
371	584	986
372	585	984
373	586	981
374	587	979
375	588	976
376	589	974
377	590	972
378	591	969
379	592	967
380	593	964
381	594	962
382	595	959
383	596	956
384	597	954
385	598	952
386	599	949
387	600	947
388	601	944
389	602	942
390	603	940
391	604	938
392	605	935
393	606	932
394	607	930
395	608	927
396	609	925
397	610	922
398	610	920
399	611	917
400	612	915
401	614	913
402	615	911
403	616	908
404	617	906
405	618	904
406	619	902
407	620	899
408	621	897
409	621	894
410	622	892
411	623	890
412	624	887
413	625	885
414	626	882
415	627	880
416	628	878
417	629	876
418	630	874
419	631	872
420	632	870
421	633	867
422	634	865
423	635	863
424	636	860
425	637	858
426	637	855
427	638	853
428	639	851
429	640	849
430	641	847
431	642	845
432	643	843
433	645	841
434	645	838
435	647	837
436	648	835
437	649	832
438	650	830
439	650	828
440	651	826
441	652	823
442	653	821
443	654	819
444	655	817
445	656	815
446	657	812
447	658	811
448	659	809
449	660	807
450	661	805
451	662	802
452	663	800
453	663	798
454	664	796
455	665	794
456	666	792
457	667	790
458	668	788
459	669	786
460	670	783
461	671	781
462	672	779
463	673	777
464	674	775
465	675	773
466	676	771
467	677	769
468	678	767
469	679	766
470	680	763
471	681	761
472	681	759
473	682	757
474	683	755
475	684	753
476	685	751
477	686	749
478	687	747
479	688	745
480	689	743
481	690	741
482	691	740
483	692	738
484	693	736
485	694	734
486	695	732
487	695	730
488	696	728
489	697	726
490	698	724
491	699	722
492	700	720
493	701	718
494	702	716
495	703	714
496	704	713
497	705	711
498	706	709
499	707	707
500	708	705
501	709	703
502	710	701
503	710	699
504	711	697
505	712	695
506	713	693
507	714	691
508	715	690
509	716	688
510	717	686
511	718	684
512	719	683
513	720	681
514	721	679
515	722	677
516	723	675
517	724	673
518	725	672
519	726	670
520	726	668
521	727	666
522	728	664
523	729	662
524	730	661
525	731	659
526	732	657
527	733	656
528	734	654
529	735	652
530	736	650
531	737	648
532	738	646
533	739	645
534	740	643
535	741	641
536	742	639
537	742	637
538	743	636
539	744	634
540	745	632
541	746	631
542	748	630
543	749	628
544	750	626
545	751	625
546	752	623
547	753	621
548	754	620
549	755	618
550	756	616
551	757	614
552	758	613
553	759	611
554	760	609
555	761	608
556	762	606
557	763	605
558	764	603
559	765	601
560	766	599
561	767	598
562	768	596
563	769	594
564	770	593
565	771	591
566	772	589
567	773	588
568	774	586
569	775	584
570	776	583
571	777	581
572	778	580
573	779	578
574	780	576
575	781	574
576	781	573
577	782	571
578	783	569
579	784	568
580	785	566
581	786	564
582	787	563
583	788	561
584	789	559
585	790	558
586	790	556
587	791	554
588	792	553
589	793	551
590	794	550
591	795	548
592	796	546
593	797	545
594	798	543
595	799	541
596	800	540
597	801	538
598	802	536
599	803	535
600	803	533
601	804	532
602	805	530
603	806	528
604	807	527
605	809	526
606	809	524
607	810	522
608	811	521
609	812	519
610	813	517
611	814	516
612	815	514
613	816	513
614	816	511
615	817	509
616	818	508
617	819	506
618	820	505
619	821	503
620	822	502
621	823	500
622	824	499
623	825	497
624	826	495
625	827	494
626	828	492
627	829	491
628	830	489
629	830	487
630	831	486
631	832	484
632	833	483
633	834	481
634	835	480
635	836	478
636	837	477
637	838	475
638	839	474
639	840	472
640	840	470
641	841	469
642	842	467
643	843	466
644	844	464
645	845	463
646	846	461
647	847	460
648	848	458
649	849	457
650	850	455
651	851	454
652	852	453
653	853	451
654	854	450
655	855	448
656	856	447
657	857	445
658	858	444
659	859	442
660	860	441
661	861	440
662	862	438
663	863	436
664	864	435
665	865	434
666	866	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	424
673	873	422
674	874	421
675	875	419
676	876	418
677	877	416
678	878	415
679	879	413
680	879	412
681	880	410
682	882	409
683	883	408
684	884	406
685	885	405
686	885	403
687	886	402
688	887	400
689	888	399
690	889	397
691	890	396
692	891	394
693	892	393
694	893	392
695	894	390
696	895	389
697	896	387
698	897	386
699	898	385
700	899	383
701	900	382
702	901	380
703	901	379
704	902	377
705	903	376
706	904	374
707	905	373
708	906	372
709	907	370
710	908	369
711	909	367
712	910	366
713	911	365
714	912	363
715	913	362
716	914	360
717	915	359
718	916	358
719	917	356
720	917	355
721	918	353
722	919	352
723	920	351
724	921	349
725	922	348
726	923	346
727	924	345
728	925	344
729	926	342
730	927	341
731	928	339
732	929	338
733	930	337
734	931	335
735	932	334
736	932	332
737	933	331
738	934	330
739	935	328
740	936	327
741	937	325
742	938	324
743	939	323
744	940	321
745	941	320
746	942	319
747	943	317
748	944	316
749	945	315
750	946	313
751	947	312
752	948	311
753	949	309
754	949	308
755	950	306
756	951	305
757	952	304
758	953	302
759	954	301
760	955	300
761	956	298
762	957	297
763	958	296
764	959	294
765	960	293
766	962	292
767	963	291
768	964	289
769	965	288
770	966	287
771	967	285
772	968	284
773	969	283
774	971	281
775	972	280
776	973	279
777	974	278
778	975	276
779	976	275
780	977	274
781	978	272
782	979	271
783	981	270
784	982	268
785	982	267
786	983	266
787	985	265
788	986	263
789	987	262
790	988	261
791	989	259
792	990	258
793	991	257
794	992	256
795	993	254
796	994	253
797	995	252
798	996	250
799	997	249
800	999	248
801	1000	247
802	1001	245
803	1002	244
804	1003	243
805	1004	241
806	1005	240
807	1006	239
808	1007	237
809	1008	236
810	1009	235
811	1010	234
812	1012	232
813	1013	231
814	1014	230
815	1016	229
816	1017	227
817	1018	226
818	1018	225
819	1019	223
820	1020	222
821	1021	221
822	1022	219
823	1023	218
824	1024	217
825	1025	215
826	1026	214
827	1027	213
828	1028	212
829	1029	210
830	1030	209
831	1031	208
832	1032	207
833	1033	205
834	1034	204
835	1036	203
836	1037	201
837	1038	200
838	1039	199
839	1040	198
840	1041	196
841	1042	195
842	1043	194
843	1045	193
844	1046	191
845	1047	190
846	1048	189
847	1049	188
848	1050	186
849	1051	185
850	1052	184
851	1053	183
852	1054	181
853	1055	180
854	1056	179
855	1057	177
856	1058	176
857	1059	175
858	1061	174
859	1062	172
860	1062	171
861	1064	170
862	1065	169
863	1066	167
864	1067	166
865	1068	165
866	1069	164
867	1070	162
868	1071	161
869	1072	160
870	1073	158
871	1074	157
872	1075	156
873	1077	155
874	1078	154
875	1079	152
876	1080	151
877	1081	150
878	1082	149
879	1083	147
880	1084	146
881	1085	145
882	1086	143
883	1087	142
884	1088	141
885	1089	140
886	1090	138
887	1091	137
888	1092	136
889	1093	135
890	1094	133
891	1095	132
892	1096	131
893	1097	130
894	1098	128
895	1099	127
896	1100	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1106	120
902	1107	118
903	1108	117
904	1108	116
905	1109	115
906	1110	113
907	1111	112
908	1112	111
909	1113	110
910	1114	108
911	1115	107
912	1116	106
913	1117	105
914	1118	103
915	1119	102
916	1121	101
917	1122	100
918	1123	99
919	1124	97
920	1125	96
921	1126	95
922	1127	94
923	1128	92
924	1129	91
925	1130	90
926	1131	89
927	1131	87
928	1132	86
929	1134	85
930	1135	84
931	1136	82
932	1137	81
933	1138	80
934	1139	79
935	1139	77
936	1140	76
937	1141	75
938	1142	74
939	1143	72
940	1144	71
941	1145	70
942	1146	69
943	1147	68
944	1148	66
945	1149	65
946	1150	64
947	1151	63
948	1152	61
949	1153	60
950	1154	59
951	1155	58
952	1156	57
953	1157	55
954	1158	54
955	1159	53
956	1160	52
957	1161	50
958	1162	49
959	1163	48
960	1164	47
961	1165	46
962	1166	44
963	1167	43
964	1168	42
965	1169	41
966	1170	39
967	1171	38
968	1171	37
969	1172	36
970	1173	35
971	1174	33
972	1175	32
973	1176	31
974	1177	30
975	1179	28
976	1180	27
977	1181	26
978	1182	25
979	1183	24
980	1184	22
981	1185	21
982	1186	20
983	1187	19
984	1188	18
985	1189	16
986	1190	15
987	1191	14
988	1192	13
989	1193	12
990	1194	10
991	1195	9
992	1196	8
993	1197	7
994	1198	6
995	1199	4
996	1200	3
997	1201	2
998	1202	1
999	1203	0
